address,airdrop_amount_dog,first_receive_block,first_receive_time,receive_count
bc1ps70mp2ytutwxcyew6y60v4u55e68tcg29ayk39rwsky09hp6frlqacggfv,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1psm2je6fgs2d4m0nftq0n5vfzs3ydalj0qxsuxhxfsgjqlvus9pcq7xwvjj,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1pt340xyumpkxd68h50m0yp783qw8q7dzq28quq0664sgdx3vlrnuskhdvz6,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1pt89hsxmpcljps5pvdwpvdnryanwcf9je72azjhafdquae4lx2mfs5zt2hj,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1ptkqyswyt5vs8lydus4ppau30s5acvazdfsj67vqwjn29s8m7wx8sy83l4g,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1ptyq59u2s93zs3g5dxsjfwygcrc2mzkpve53cvwdrwv2j6xzlxflsylpecj,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1pu8zk09p24j2hk8nlpsqwt48tl9f43hgmh2ckpwlhtqydpnhdfm0qj60v6t,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1pucgrdca8kftm5kevzkrl6yfutz04dgvkzyfekaen3z4p266r0g0qlry3cn,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1pvlm0g6dv2uh8e9wpfl7g5f22ndtr0xvz22phrdsekhln54hfw2zq2uq2rf,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1pvzhwn3eue28hr88lm84wh3gse4fx9ap4gu2ucklf5t5vz8pv3j6qqjxs6e,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1py0nmyly3dg48fu4f0n0e70w5sg44ndgz6dlp2kzec48qyggyn48s4hcffh,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1pyrh8f75r5py8ewvhgqqhg2j2m4w6hdy9jesy0mhj6duj0ezj4emsvhvxhu,3559224.0,840657,2024-04-24T12:42:21Z,4
bc1pysyyguyj0jlvfqm2x4rn0rzguc5zaw48h6we3x0gskz88k7tunzs8s4m28,3559224.0,840657,2024-04-24T12:42:21Z,4
